cpu, 256, 12500000, 0.146748
sse-cpu, 256, 12500000, 0.200144
avx2-cpu, 256, 12500000, 0.234087
avx512-harley-seal, 256, 12500000, 0.331356
avx512bw-shuf, 256, 12500000, 0.641324
builtin-popcnt, 256, 12500000, 0.265260
builtin-popcnt32, 256, 12500000, 0.445737
builtin-popcnt-unrolled, 256, 12500000, 0.144098
builtin-popcnt-unrolled32, 256, 12500000, 0.250389
builtin-popcnt-unrolled-errata, 256, 12500000, 0.150600
builtin-popcnt-unrolled-errata-manual, 256, 12500000, 0.161706
builtin-popcnt-movdq, 256, 12500000, 0.190363
builtin-popcnt-movdq-unrolled, 256, 12500000, 0.182182
builtin-popcnt-movdq-unrolled_manual, 256, 12500000, 0.175734
lookup-8, 512, 10000000, 1.728275
lookup-64, 512, 10000000, 1.753010
bit-parallel, 512, 10000000, 1.714597
bit-parallel-optimized, 512, 10000000, 1.138113
bit-parallel-optimized2, 512, 10000000, 0.706588
bit-parallel-mul, 512, 10000000, 0.371891
bit-parallel32, 512, 10000000, 2.821760
bit-parallel-optimized32, 512, 10000000, 2.134099
harley-seal, 512, 10000000, 0.444048
sse-bit-parallel, 512, 10000000, 0.860142
sse-bit-parallel-original, 512, 10000000, 0.636593
sse-bit-parallel-better, 512, 10000000, 0.766465
sse-harley-seal, 512, 10000000, 0.318151
sse-lookup, 512, 10000000, 0.297550
sse-lookup-original, 512, 10000000, 0.503142
avx2-lookup, 512, 10000000, 0.192962
avx2-lookup-original, 512, 10000000, 0.402855
avx2-harley-seal, 512, 10000000, 0.224546
cpu, 512, 10000000, 0.219901
sse-cpu, 512, 10000000, 0.282481
avx2-cpu, 512, 10000000, 0.325713
avx512-harley-seal, 512, 10000000, 0.367422
avx512bw-shuf, 512, 10000000, 0.623209
builtin-popcnt, 512, 10000000, 0.377237
builtin-popcnt32, 512, 10000000, 0.723163
builtin-popcnt-unrolled, 512, 10000000, 0.229870
builtin-popcnt-unrolled32, 512, 10000000, 0.480291
builtin-popcnt-unrolled-errata, 512, 10000000, 0.223369
builtin-popcnt-unrolled-errata-manual, 512, 10000000, 0.221489
builtin-popcnt-movdq, 512, 10000000, 0.324906
builtin-popcnt-movdq-unrolled, 512, 10000000, 0.261767
builtin-popcnt-movdq-unrolled_manual, 512, 10000000, 0.299430
lookup-8, 1024, 5000000, 1.671362
lookup-64, 1024, 5000000, 1.794002
